Code	Data.description	Data.validityStart	Data.validityEnd
0002957939	"МЫТИЩИ, АГЕНТСТВО ""СЕВЕР"" ДОП.ОФИС Г. МЫТИЩИ"	2001-01-01
0002957945	"ОДИНЦОВО, АГЕНТСТВО ""СЕВЕР"" ДОП.ОФИС Г. ОДИНЦОВО"	2001-01-01
0002957952	"ПОДОЛЬСК, АГЕНТСТВО ""ЮГ"" ДОП.ОФИС Г. ПОДОЛЬСК"	2001-01-01
0002957967	КРАСНОЯРСК, АГЕНТСТВО В Г. КРАСНОЯРСК	2001-01-01
0002957969	ВОЛГОГРАД, АГЕНТСТВО В Г. ВОЛГОГРАД	2001-01-01	
0002957994	НОВОСИБИРСК, АГЕНТСТВО В Г. НОВОСИБИРСК	2001-01-01
0002958089	ЧЕЛЯБИНСК, АГЕНТСТВО В Г. ЧЕЛЯБИНСК	2001-01-01
0002958098	ЕКАТЕРИНБУРГ, АГЕНТСТВО В Г. ЕКАТЕРИНБУРГ	2001-01-01
0002958134	"РОСТОВ-НА-ДОНУ, АГЕНТСТВО В Г. РОСТОВ-НА-ДОНУ ООО ""СК ""ЭРГО ЖИЗНЬ"""	2001-01-01
0002958136	НИЖНИЙ НОВГОРОД, АГЕНТСТВО В Г. НИЖНИЙ НОВГОРОД	2001-01-01
0002958137	НИЖНИЙ НОВГОРОД, УПРАВЛЕНИЕ ПО РАБОТЕ С АВТОСАЛОНАМИ	2001-01-01
0002958145	"КРАСНОДАР, АГЕНТСТВО В Г. КРАСНОДАР ООО ""СК ""ЭРГО ЖИЗНЬ"""	2001-01-01
0002958151	ТОЛЬЯТТИ, АГЕНТСТВО В Г. ТОЛЬЯТТИ	2001-01-01
0002958153	КАЗАНЬ, АГЕНТСТВО №1 В Г. КАЗАНЬ	2001-01-01
0002958200	САМАРА, АГЕНТСТВО В Г. САМАРА	2001-01-01
0002958212	САРАТОВ, АГЕНТСТВО В Г. САРАТОВ	2001-01-01
0002958228	ТЮМЕНЬ, АГЕНТСТВО В Г. ТЮМЕНЬ	2001-01-01
0002958230	УФА, АГЕНТСТВО  В Г. УФА	2001-01-01
0002958232	"НИЖНЕКАМСК, АГЕНТСТВО В Г. НИЖНЕКАМСК ООО ""СК ""ЭРГО ЖИЗНЬ"" ФИЛИАЛ В Г. КАЗАНЬ"	2001-01-01
0002958246	ВЕЛИКИЙ НОВГОРОД, АГЕНТСТВО В Г. ВЕЛИКИЙ НОВГОРОД	2001-01-01
0003602919	"МОСКВА, АГЕНТСТВО ""САВЕЛОВСКОЕ"""	2001-01-01
0004948059	"ЧЕХОВ, АГЕНТСТВО ""ЮГ"" ДОП.ОФИС Г. ЧЕХОВ"	2001-01-01
0004962951	"МОСКВА, АГЕНТСТВО ""ДОБРОЛЮБОВСКОЕ"""	2001-01-01
0005177475	"МОСКВА, АГЕНТСТВО ""НОВОСЛОБОДСКОЕ"""	2001-01-01
0010446979	САНКТ-ПЕТЕРБУРГ, АГЕНТСТВО №1 В Г. САНКТ-ПЕТЕРБУРГ	2010-01-01
0010446991	"ЧЕРЕПОВЕЦ, АГЕНТСТВО ""ЧЕРЕПОВЕЦ"" ООО ""СК ""ЭРГО ЖИЗНЬ"""	2005-01-01
0010446999	"НИЖНИЙ ТАГИЛ, АГЕНТСТВО В Г. НИЖНИЙ ТАГИЛ  ООО ""СК ""ЭРГО ЖИЗНЬ"""	2005-01-01
0010447000	МОСКВА, УПРАВЛЕНИЕ ПО РАБОТЕ С АВТОСАЛОНАМИ	2005-01-01
0010447004	САНКТ-ПЕТЕРБУРГ, УПРАВЛЕНИЕ РАЗВИТИЯ КОРПОРАТИВНЫХ ПРОДАЖ	2005-01-01
0010447006	"МОСКВА, ООО СК ""РОСГОССТРАХ ЖИЗНЬ"""	2005-01-01
0010447010	СМОЛЕНСК, АГЕНТСТВО В Г. СМОЛЕНСК	2005-01-01
0010447011	МОСКВА, РЕГИОНАЛЬНАЯ ДИРЕКЦИЯ 1	2005-01-01
0010447012	"МОСКВА, АГЕНТСТВО ""ПУШКИНСКОЕ"""	2005-01-01
0010447014	МОСКВА, ДЕПАРТАМЕНТ ЛИЧНЫХ ВИДОВ СТРАХОВАНИЯ	2001-01-01
0010447015	МОСКВА, ДЕПАРТАМЕНТ РОЗНИЧНЫХ ПРОДАЖ	2001-01-01
0010447016	САНКТ-ПЕТЕРБУРГ, АГЕНТСТВО №2 В Г. САНКТ-ПЕТЕРБУРГ	2005-01-01
0010447017	"ПЕТРОЗАВОДСК, АГЕНТСТВО В Г. ПЕТРОЗАВОДСК ООО ""СК ""ЭРГО ЖИЗНЬ"""	2005-01-01
0010447018	МОСКВА,SALES ДИРЕКЦИЯ, ДЕПАРТАМЕНТ ПАРТНЕРСКИХ ПРОДАЖ	2005-01-01
0010447019	МОСКВА, УПРАВЛЕНИЕ ПО РАБОТЕ С БАНКАМИ	2005-01-01
0010447020	МОСКВА, SALES ДИРЕКЦИЯ, ДЕПАРТАМЕНТ ПАРТНЕРСКИХ ПРОДАЖ, УПРАВЛЕНИЕ ПО РАБОТЕ С БАНКАМИ 2	2005-01-01	2022-12-01
0010447021	"МОСКВА, АГЕНТСТВО ""КУРСКАЯ"""	2005-01-01
0010447022	"МОСКВА, АГЕНТСТВО ""ПРЕМИУМ"""	2005-01-01
0010447023	КАЗАНЬ, ВОЛГО-ДОНСКАЯ ДИРЕКЦИЯ	2005-01-01
0010447024	"МОСКВА, АГЕНТСТВО ""СИЛЬВЕР СИТИ"""	2005-01-01
0010447025	"МОСКВА, АГЕНТСТВО ""ЧКАЛОВСКОЕ"""	2005-01-01
0010447026	КАЗАНЬ, АГЕНТСТВО №2 В Г. КАЗАНЬ	2005-01-01
0010447027	МОСКВА, ЦЕНТР УПРАВЛЕНИЯ ПОРТФЕЛЕМ ESP	2005-01-01
0010447028	"МАГНИТОГОРСК, АГЕНТСТВО №1 ""МАГНИТОГОРСК"""	2005-01-01
0010447029	САНКТ-ПЕТЕРБУРГ, АГЕНТСТВО №5 В Г. САНКТ-ПЕТЕРБУРГ	2005-01-01
0010447031	САНКТ-ПЕТЕРБУРГ, АГЕНТСТВО №4 В Г. САНКТ-ПЕТЕРБУРГ	2005-01-01
0010447032	САНКТ-ПЕТЕРБУРГ, АГЕНТСТВО №3 В Г. САНКТ-ПЕТЕРБУРГ	2005-01-01
0010447033	МОСКВА,ПРОЕКТНАЯ ДИРЕКЦИЯ	2005-01-01
0010447034	МАГНИТОГОРСК, АГЕНТСТВО №2 В Г. МАГНИТОГОРСК	2010-01-01
0010447035	ВОРОНЕЖ, АГЕНТСТВО В Г. ВОРОНЕЖ	2010-01-01
0010447036	КАЗАНЬ, ЦЕНТР УПРАВЛЕНИЯ ПОРТФЕЛЕМ КАЗАНЬ	2005-01-01
0010447037	РЕГИОНЫ, АГЕНТСТВО РЕГИОНАЛЬНАЯ ДИРЕКЦИЯ 2	2001-01-01
0010447038	РЕГИОНЫ, АГЕНТСТВО РЕГИОНАЛЬНАЯ ДИРЕКЦИЯ 3	2001-01-01
0010447039	РЕГИОНЫ, АГЕНТСТВО РЕГИОНАЛЬНАЯ ДИРЕКЦИЯ 4	2001-01-01
0010447040	РЕГИОНЫ, ЦЕНТРАЛЬНАЯ ТЕРРИТОРИАЛЬНАЯ ДИРЕКЦИЯ	2005-01-01
0010447041	"ЯРОСЛАВЛЬ, АГЕНТСТВО В Г. ЯРОСЛАВЛЬ ООО ""СК ""ЭРГО ЖИЗНЬ"""	2005-01-01
0010447042	САНКТ-ПЕТЕРБУРГ, ЦЕНТР УПРАВЛЕНИЯ ПОРТФЕЛЕМ САНКТ-ПЕТЕРБУРГ	2005-01-01
0010447043	МОСКВА, ДИРЕКЦИЯ ПРЯМЫХ ПРОДАЖ	2005-01-01
0010447044	"МОСКВА, АГЕНТСТВО ""ВЛАДЫКИНО"""	2005-01-01
0010447045	"МОСКВА, АГЕНТСТВО ""ОСТАНКИНСКОЕ"""	2005-01-01
0010447046	ТЕРРИТОРИАЛЬНАЯ ДИРЕКЦИИ В Г.МОСКВА РЕГИОНАЛЬНОЙ ДИРЕКЦИИ 1	2005-01-01
0010447047	МОСКВА, МОСКОВСКАЯ ТЕРРИТОРИАЛЬНАЯ ДИРЕКЦИЯ	2005-01-01
0010447048	ТЕРРИТОРИАЛЬНАЯ ДИРЕКЦИИ В Г.САНКТ-ПЕТЕРБУРГ РЕГИОНАЛЬНОЙ ДИРЕКЦИИ 3	2005-01-01
0010447049	"МОСКВА АГЕНТСТВО ""СИТИ"""	2005-01-01
0010447050	"ПАО СК ""РОСГОССТРАХ"" В ИВАНОВСКОЙ ОБЛАСТИ"	2005-01-01
0010447051	"ПАО СК ""РОСГОССТРАХ"" В МОСКВЕ И МОСКОВСКОЙ ОБЛАСТИ"	2005-01-01
0010447052	"ПАО СК ""РОСГОССТРАХ"" В АРХАНГЕЛЬСКОЙ ОБЛАСТИ"	2005-01-01
0010447053	"ПАО СК ""РОСГОССТРАХ"" ВО ВЛАДИМИРСКОЙ ОБЛАСТИ"	2005-01-01
0010447054	"ПАО СК ""РОСГОССТРАХ"" В ВОЛГОГРАДСКОЙ ОБЛАСТИ"	2005-01-01
0010447055	"ПАО СК ""РОСГОССТРАХ"" В ВОЛОГОДСКОЙ ОБЛАСТИ"	2005-01-01
0010447056	"ПАО СК ""РОСГОССТРАХ"" В ВОРОНЕЖСКОЙ ОБЛАСТИ"	2005-01-01
0010447057	"МОСКВА АГЕНТСТВО ""ПАО РГС"""	2005-01-01
0010447058	"ПАО СК ""РОСГОССТРАХ"" В КИРОВСКОЙ ОБЛАСТИ"	2005-01-01
0010447059	"ПАО СК ""РОСГОССТРАХ"" В КРАСНОЯРСКОМ КРАЕ"	2005-01-01
0010447060	"ПАО СК ""РОСГОССТРАХ"" В НИЖЕГОРОДСКОЙ ОБЛАСТИ"	2005-01-01
0010447061	"ПАО СК ""РОСГОССТРАХ"" В НОВОСИБИРСКОЙ ОБЛАСТИ"	2005-01-01
0010447062	"ПАО СК ""РОСГОССТРАХ"" В ОМСКОЙ ОБЛАСТИ"	2005-01-01
0010447063	"ПАО СК ""РОСГОССТРАХ"" В ПЕРМСКОМ КРАЕ"	2005-01-01
0010447064	"ПАО СК ""РОСГОССТРАХ"" В ПРИМОРСКОМ КРАЕ"	2005-01-01
0010447065	"ПАО СК ""РОСГОССТРАХ"" В РЕСПУБЛИКЕ БАШКОРТОСТАН"	2005-01-01
0010447066	"ПАО СК ""РОСГОССТРАХ"" В РЕСПУБЛИКЕ КАРЕЛИЯ"	2005-01-01
0010447067	"ПАО СК ""РОСГОССТРАХ"" В РЕСПУБЛИКЕ МОРДОВИЯ"	2005-01-01
0010447068	"ПАО СК ""РОСГОССТРАХ"" В РЕСПУБЛИКЕ ТАТАРСТАН"	2005-01-01
0010447069	"ПАО СК ""РОСГОССТРАХ"" В РОСТОВСКОЙ ОБЛАСТИ"	2005-01-01
0010447070	"ПАО СК ""РОСГОССТРАХ"" В РЯЗАНСКОЙ ОБЛАСТИ"	2005-01-01
0010447071	"ПАО СК ""РОСГОССТРАХ"" В САМАРСКОЙ ОБЛАСТИ"	2005-01-01
0010447072	"ПАО СК ""РОСГОССТРАХ"" В САНКТ-ПЕТЕРБУРГЕ И ЛЕНИНГРАДСКОЙ ОБЛАСТИ"	2005-01-01
0010447073	"ПАО СК ""РОСГОССТРАХ"" В СВЕРДЛОВСКОЙ ОБЛАСТИ"	2005-01-01
0010447074	"ПАО СК ""РОСГОССТРАХ"" В ТЮМЕНСКОЙ ОБЛАСТИ"	2005-01-01
0010447075	"ПАО СК ""РОСГОССТРАХ"" В УДМУРТСКОЙ РЕСПУБЛИКЕ"	2005-01-01
0010447076	"ПАО СК ""РОСГОССТРАХ"" В УЛЬЯНОВСКОЙ ОБЛАСТИ"	2005-01-01
0010447077	"ПАО СК ""РОСГОССТРАХ"" В ЧЕЛЯБИНСКОЙ ОБЛАСТИ"	2005-01-01
0010447078	"ПАО СК ""РОСГОССТРАХ"" В ЧУВАШСКОЙ РЕСПУБЛИКЕ-ЧУВАШИИ"	2005-01-01
0010447079	"ПАО СК ""РОСГОССТРАХ"" В РЕСПУБЛИКЕ БУРЯТИЯ"	2005-01-01
0010447080	"ПАО СК ""РОСГОССТРАХ"" В КЕМЕРОВСКОЙ ОБЛАСТИ"	2005-01-01
0010447081	СТОЛИЧНАЯ ДИРЕКЦИИ В Г.МОСКВА РЕГИОНАЛЬНОЙ ДИРЕКЦИИ 1	2005-01-01
0010447082	"АГЕНТСТВО ""СЕВЕР"""	2005-01-01
0010447083	"АГЕНТСТВО ""ЮГ"""	2005-01-01
0010447084	"ПАО СК ""РОСГОССТРАХ"" В АЛТАЙСКОМ КРАЕ С РА"	2005-01-01
0010447085	"ПАО СК ""РОСГОССТРАХ"" В АМУРСКОЙ ОБЛАСТИ"	2005-01-01
0010447086	"ПАО СК ""РОСГОССТРАХ"" В АСТРАХАНСКОЙ ОБЛАСТИ"	2005-01-01
0010447087	"ПАО СК ""РОСГОССТРАХ"" В БЕЛГОРОДСКОЙ ОБЛАСТИ"	2005-01-01
0010447088	"ПАО СК ""РОСГОССТРАХ"" В БРЯНСКОЙ ОБЛАСТИ"	2005-01-01
0010447089	"ПАО СК ""РОСГОССТРАХ"" В ЕВРЕЙСКОЙ АВТОНОМНОЙ ОБЛ."	2005-01-01
0010447090	"ПАО СК ""РОСГОССТРАХ"" В ЗАБАЙКАЛЬСКОМ КРАЕ"	2005-01-01
0010447091	"ПАО СК ""РОСГОССТРАХ"" В ИРКУТСКЕ С УОБАО"	2005-01-01
0010447092	"ПАО СК ""РОСГОССТРАХ"" В КАБАРДИНО-БАЛКАРСКОЙ РЕСПУБЛИКЕ"	2005-01-01
0010447093	"ПАО СК ""РОСГОССТРАХ"" В КАЛИНИНГРАДСКОЙ ОБЛАСТИ"	2005-01-01
0010447094	"ПАО СК ""РОСГОССТРАХ"" В КАЛУЖСКОЙ ОБЛАСТИ"	2005-01-01
0010447095	"ПАО СК ""РОСГОССТРАХ"" В КАМЧАТСКОЙ ОБЛАСТИ"	2005-01-01
0010447096	"ПАО СК ""РОСГОССТРАХ"" В КОСТРОМСКОЙ ОБЛАСТИ"	2005-01-01
0010447097	"ПАО СК ""РОСГОССТРАХ"" В КРАСНОДАРСКОМ КРАЕ С РЕСПУБЛИКОЙ АДЫГЕЯ"	2005-01-01
0010447098	"ПАО СК ""РОСГОССТРАХ"" В КУРГАНСКОЙ ОБЛАСТИ"	2005-01-01
0010447099	"ПАО СК ""РОСГОССТРАХ"" В КУРСКОЙ ОБЛАСТИ"	2005-01-01
0010447100	"ПАО СК ""РОСГОССТРАХ"" В ЛИПЕЦКОЙ ОБЛАСТИ"	2005-01-01
0010447101	"ПАО СК ""РОСГОССТРАХ"" В МАГАДАНСКОЙ ОБЛАСТИ"	2005-01-01
0010447102	"ПАО СК ""РОСГОССТРАХ"" В МУРМАНСКОЙ ОБЛАСТИ"	2005-01-01
0010447103	"ПАО СК ""РОСГОССТРАХ"" В НОВГОРОДСКОЙ ОБЛАСТИ"	2005-01-01
0010447104	"ПАО СК ""РОСГОССТРАХ"" В ОРЕНБУРГСКОЙ ОБЛАСТИ"	2005-01-01
0010447105	"ПАО СК ""РОСГОССТРАХ"" В ОРЛОВСКОЙ ОБЛАСТИ"	2005-01-01
0010447106	"ПАО СК ""РОСГОССТРАХ"" В ПЕНЗЕНСКОЙ ОБЛАСТИ"	2005-01-01
0010447107	"ПАО СК ""РОСГОССТРАХ"" В ПСКОВСКОЙ ОБЛАСТИ"	2005-01-01
0010447108	"ПАО СК ""РОСГОССТРАХ"" В РЕСПУБЛИКЕ ДАГЕСТАН"	2005-01-01
0010447109	"ПАО СК ""РОСГОССТРАХ"" В РЕСПУБЛИКЕ ИНГУШЕТИЯ"	2005-01-01
0010447110	"ПАО СК ""РОСГОССТРАХ"" В РЕСПУБЛИКЕ КАЛМЫКИЯ"	2005-01-01
0010447111	"ПАО СК ""РОСГОССТРАХ"" В РЕСПУБЛИКЕ КОМИ"	2005-01-01
0010447112	"ПАО СК ""РОСГОССТРАХ"" В РЕСПУБЛИКЕ МАРИЙ ЭЛ"	2005-01-01
0010447113	"ПАО СК ""РОСГОССТРАХ"" В РЕСПУБЛИКЕ САХА (ЯКУТИЯ)"	2005-01-01
0010447114	"ПАО СК ""РОСГОССТРАХ"" В РЕСПУБЛИКЕ СЕВЕРНАЯ ОСЕТИЯ - АЛАНИЯ"	2005-01-01
0010447115	"ПАО СК ""РОСГОССТРАХ"" В РЕСПУБЛИКЕ ТЫВА"	2005-01-01
0010447116	"ПАО СК ""РОСГОССТРАХ"" В РЕСПУБЛИКЕ ХАКАСИЯ"	2005-01-01
0010447117	"ПАО СК ""РОСГОССТРАХ"" В САРАТОВСКОЙ ОБЛАСТИ"	2005-01-01
0010447118	"ПАО СК ""РОСГОССТРАХ"" В САХАЛИНСКОЙ ОБЛАСТИ"	2005-01-01
0010447119	"ПАО СК ""РОСГОССТРАХ"" В СМОЛЕНСКОЙ ОБЛАСТИ"	2005-01-01
0010447120	"ПАО СК ""РОСГОССТРАХ"" В СТАВРОПОЛЬСКОМ КРАЕ С КЧР"	2005-01-01
0010447121	"ПАО СК ""РОСГОССТРАХ"" В ТАМБОВСКОЙ ОБЛАСТИ"	2005-01-01
0010447122	"ПАО СК ""РОСГОССТРАХ"" В ТВЕРСКОЙ ОБЛАСТИ"	2005-01-01
0010447123	"ПАО СК ""РОСГОССТРАХ"" В ТОМСКОЙ ОБЛАСТИ"	2005-01-01
0010447124	"ПАО СК ""РОСГОССТРАХ"" В ТУЛЬСКОЙ ОБЛАСТИ"	2005-01-01
0010447125	"ПАО СК ""РОСГОССТРАХ"" В ХАБАРОВСКОМ КРАЕ"	2005-01-01
0010447126	"ПАО СК ""РОСГОССТРАХ"" В ЯРОСЛАВСКОЙ ОБЛАСТИ"	2005-01-01
0010447127	"МОСКВА АГЕНТСТВО ""ЮБИЛЕЙНОЕ"""	2005-01-01
0010447128	"МОСКВА АГЕНТСТВО ""МОСКОВСКОЕ"""	2005-01-01
0010447129	ДИРЕКЦИЯ МОСКОВСКАЯ ОБЛАСТЬ	2005-01-01
0010447130	"АГЕНТСТВО ""ПРОЕКТ ЦУП"""	2005-01-01
0010447131	"АГЕНТСТВО ""ПРОЕКТ МСБ"""	2005-01-01
0010447132	"ПАО СК ""РОСГОССТРАХ"" ДЕПАРТАМЕНТ РАЗВИТИЯ ОФИСНЫХ ПРОДАЖ (ДРОП)"	2005-01-01
0010447133	ОБОСОБЛЕННОЕ ПОДРАЗДЕЛЕНИЕ В Г. НИЖНИЙ НОВГОРОД БЛОК: РЕЗЕРВНЫЙ ГЕНЕРАЛЬНАЯ ДИРЕКЦИЯ	2005-01-01