ApplicationRole	EntityType	Predicate	SecurityScope	AssignmentOperator
SalesAKBARSGroup	Contract	Allow	AKBARS	Add
SalesAKCEPTGroup	Contract	Allow	AKCEPT	Add
SalesBFKOGroup	Contract	Allow	BFKO	Add
SalesBFKOAutoGroup	Contract	Allow	BFKOAUTO	Add
SalesDemoGroup	Contract	Allow	Demo	Add
SalesPSBGroup	Contract	Allow	PSB	Add
SalesVTBGroup	Contract	Allow	VTB	Add
SalesPSBVIPGroup	Contract	Allow	PSBVIP	Add
SalesZENITGroup	Contract	Allow	ZENIT	Add
SalesOASGroup	Contract	Allow	OAS	Add
SalesMINBANKGroup	Contract	Allow	MINBANK	Add
GeneralBackOffice	Contract	Allow	AKBARS	Add
GeneralBackOffice	Contract	Allow	AKCEPT	Add
GeneralBackOffice	Contract	Allow	BFKO	Add
GeneralBackOffice	Contract	Allow	BFKOAUTO	Add
GeneralBackOffice	Contract	Allow	Demo	Add
GeneralBackOffice	Contract	Allow	PSB	Add
GeneralBackOffice	Contract	Allow	VTB	Add
GeneralBackOffice	Contract	Allow	PSBVIP	Add
GeneralBackOffice	Contract	Allow	ZENIT	Add
GeneralBackOffice	Contract	Allow	OAS	Add
GeneralBackOffice	Contract	Allow	MINBANK	Add
SalesBFKOVIPGroup	Contract	Allow	BFKOVIP	Add
GeneralBackOffice	Contract	Allow	BFKOVIP	Add
SalesSOVKOMVIPGroup	Contract	Allow	SOVKOMVIP	Add
GeneralBackOffice	Contract	Allow	SOVKOMVIP	Add
SalesROSBANKVIPGroup	Contract	Allow	ROSBANKVIP	Add
GeneralBackOffice	Contract	Allow	ROSBANKVIP	Add
SalesSMPGroup	Contract	Allow	SMP	Add
GeneralBackOffice	Contract	Allow	SMP	Add
GeneralBackOffice	Contract	Allow	REINVEST	Add
GeneralBackOffice	Contract	Allow	ABSOLUT	Add
GeneralBackOffice	Contract	Allow	APACHEVA	Add
GeneralBackOffice	Contract	Allow	BELOVA	Add
GeneralBackOffice	Contract	Allow	BUROVA	Add
GeneralBackOffice	Contract	Allow	BUVAL	Add
GeneralBackOffice	Contract	Allow	CHIIZKOVA	Add
GeneralBackOffice	Contract	Allow	DATABANK	Add
GeneralBackOffice	Contract	Allow	DUMMY	Add
GeneralBackOffice	Contract	Allow	FINSERVICE	Add
GeneralBackOffice	Contract	Allow	HUSAINOVA	Add
GeneralBackOffice	Contract	Allow	INVESTTORG	Add
GeneralBackOffice	Contract	Allow	KOZLOVA	Add
GeneralBackOffice	Contract	Allow	MAKAROVA	Add
GeneralBackOffice	Contract	Allow	METTUS	Add
GeneralBackOffice	Contract	Allow	MIRLINA	Add
GeneralBackOffice	Contract	Allow	NESTEROVA	Add
GeneralBackOffice	Contract	Allow	OTP	Add
GeneralBackOffice	Contract	Allow	OWC	Add
GeneralBackOffice	Contract	Allow	PASHKOVA	Add
GeneralBackOffice	Contract	Allow	PFA	Add
GeneralBackOffice	Contract	Allow	POCHTA	Add
GeneralBackOffice	Contract	Allow	RAIF	Add
GeneralBackOffice	Contract	Allow	SANKOVA	Add
GeneralBackOffice	Contract	Allow	SCB	Add
GeneralBackOffice	Contract	Allow	SEMYANOVA	Add
GeneralBackOffice	Contract	Allow	SINERGIA	Add
GeneralBackOffice	Contract	Allow	STARKOVA	Add
GeneralBackOffice	Contract	Allow	SVIDERSKAYA	Add
GeneralBackOffice	Contract	Allow	TATARSKAYA	Add
GeneralBackOffice	Contract	Allow	TATIAN	Add
GeneralBackOffice	Contract	Allow	TCB	Add
GeneralBackOffice	Contract	Allow	UNICREDIT	Add
GeneralBackOffice	Contract	Allow	VAHITOVA	Add
GeneralBackOffice	Contract	Allow	massCorp	Add
SalesVTBMassGroup	Contract	Allow	VTBMass	Add
SalesLIFEINVESTGroup	Contract	Allow	LIFEINVEST	Add
GeneralBackOffice	Contract	Allow	VTBMass	Add
GeneralBackOffice	Contract	Allow	LIFEINVEST	Add
GeneralBackOffice	Contract	Allow	PB	Add
SalesPBGroup	Contract	Allow	PB	Add
GeneralBackOffice	Contract	Allow	GORIZONT	Add
GeneralBackOffice	Contract	Allow	PRIMORYE	Add
GeneralBackOffice	Contract	Allow	UBRR	Add
SalesUBRRGroup	Contract	Allow	UBRR	Add
GeneralBackOffice	Contract	Allow	EKSPO	Add
SalesEKSPOGroup	Contract	Allow	EKSPO	Add