Code	Data.description
ACC_CA_CONTRACTS_WAS_NOT_FOUND	ACC_CA_CONTRACTS_WAS_NOT_FOUND
ACC_CA_DUPLICATED_CONTRACT_NUMBER	ACC_CA_DUPLICATED_CONTRACT_NUMBER
ACC_CA_INSTALLMENT_WAS_NOT_FOUND	ACC_CA_INSTALLMENT_WAS_NOT_FOUND
ACC_CA_NOT_ALLOWED_STATUS_ID	ACC_CA_NOT_ALLOWED_STATUS_ID
ACC_CA_WRONG_AGENT_AGREEMENT_NAME	ACC_CA_WRONG_AGENT_AGREEMENT_NAME
ACC_CA_WRONG_AGENT_AGREEMENT_NUMBER	ACC_CA_WRONG_AGENT_AGREEMENT_NUMBER
ACC_CA_WRONG_AGENT_CODE	ACC_CA_WRONG_AGENT_CODE
ACC_CA_WRONG_AGENT_NAME	ACC_CA_WRONG_AGENT_NAME
ACC_CF_CANCEL_OVERPAYMENT_ERROR	ACC_CF_CANCEL_OVERPAYMENT_ERROR
ACC_CF_POLICY_IS_CANCELLED_ERROR	ACC_CF_POLICY_IS_CANCELLED_ERROR
ACC_CF_RSD_ALLOCATION_EXISTS	ACC_CF_RSD_ALLOCATION_EXISTS
ACC_CF_WRONG_DIRECTION	ACC_CF_WRONG_DIRECTION
ACC_PERIOD_EXISTS_CLOSED_AFTER	ACC_PERIOD_EXISTS_CLOSED_AFTER
ACC_PERIOD_EXISTS_OPENED_BEFORE	ACC_PERIOD_EXISTS_OPENED_BEFORE
PAS_INV_PROFIT_ALLOCATION_CANCEL_PAID_EXISTS	PAS_INV_PROFIT_ALLOCATION_CANCEL_PAID_EXISTS